SGI,med_10m,med_20m
A54m-25,-1.985,-0.3395
A54m-26,-2.265,-0.9804999999999999
A54m-27,-2.6455,-1.3305
A54m-28,-0.9415,-0.683
A54m-30,-1.0545,-0.718
A54m-31,0,0
A54m-32,-0.168,-0.0825
A54m-33,-0.5395000000000001,-0.165
A54m-34,-3.1725,-1.4525000000000001
A54m-37,-0.252,-0.14100000000000001
A54m-38,-0.627,-0.259
A54m-39,-3.6985,-2.2489999999999997
A54m-41,-1.072,-0.5025
A54m-42,-1.9865,-0.624
A54m-44,-1.4765000000000001,-0.577
A54m-45,-2.5149999999999997,-1.75
A54m-46,-0.5325,-0.098
A54m-50,-0.5874999999999999,-0.2865
A54m-51,-0.395,-0.048
A54m-52,-0.227,0
A54m-53,-0.048,-0.003
A54m-55,-2.8434999999999997,-1.4595
A54m-56,-0.084,-0.028
A54m-57,-1.639,-0.8225
A54m-59,-0.1625,-0.0575
A54m-60,0,0
A55a-02,0,0
A55a-03,-0.851,-0.458
A55a-06,-0.5874999999999999,-0.2495
A55a-07,-0.61,-0.1315
A55a-08,-0.3095,-0.07050000000000001
A55a-09,-0.2395,0
A55a-10,0,0
A55a-11,-1.0365,-0.2275
A55a-13,-0.4185,-0.10200000000000001
A55a-15,-0.001,-0.001
A55a-16,0,0
A55b-03,-0.7775000000000001,-0.0735
A55b-04,-1.931,-1.2325
A55b-05,-0.898,-0.46
A55b-06,0,0
A55b-07,0,0
A55b-08,0,0
A55b-09,-0.489,-0.168
A55b-10,-1.4809999999999999,-0.836
A55b-11,-1.9205,-1.2235
A55b-12,-0.284,-0.106
A55b-14,-0.709,-0.2795
A55b-15,-0.0415,0
A55b-16,0,0
A55b-17,-0.4725,-0.2425
A55b-21,-2.818,-1.7115
A55b-22,-2.9050000000000002,-13.4145
A55b-24,-1.7305000000000001,-1.0375
A55b-25,-2.306,-1.4865
A55b-26,-0.342,0
A55b-27,-0.8725,-0.357
A55b-28,-1.012,-0.4505
A55b-30,-1.333,-0.6495
A55b-31,0,0
A55b-32,0,0
A55b-33,-0.073,0
A55b-34,0,0
A55b-35,0,0
A55b-36,-0.1295,0
A55b-37,-0.144,0
A55b-38,0,0
A55b-39,-0.1915,0
A55b-43,-1.601,-0.8194999999999999
A55c-01,-0.8855,-0.4235
A55c-03,-0.002,-0.002
A55c-04,0,0
A55c-07,-0.9935,-0.4325
A55c-09,-0.5265,-0.252
A55c-11,0,0
A55c-14,-0.741,-0.421
A55c-16,-0.5375000000000001,-0.2695
A55c-18,0,0
A55c-19,-1.0725,-0.545
A55c-21,0,0
A55c-25,0,0
A55c-26,-0.5705,-0.5065
A55d-04,0,0
A55d-05,-0.2915,-0.102
A55d-08,0,0
A55f-01,0,0
A55f-04,-0.615,-0.32
A55f-05,-0.5025,-0.08549999999999999
A55f-07,-1.4395,-0.816
A56d-01,0,0
A56d-02,0,0
A56d-04,0,0
A56d-05,-0.6445000000000001,-0.371
A56d-06,-0.847,-0.479
B16-01,-0.5295000000000001,-0.28
B16-03,-0.2245,-0.0875
B16-05,-0.559,-0.24
B16-07,-0.703,-0.1135
B16-09,0,0
B16-10,0,0
B16-12,0,0
B17-02,-0.0235,-0.008
B17-03,-0.19,-0.08549999999999999
B17-04,-0.249,-0.11
B17-08,-0.1475,-0.056
B17-10,-0.001,0
B21-05,0,0
B22-04,-0.804,-0.42
B23-03,-0.571,-0.2515
B23-07,0,0
B23-09,-0.605,-0.316
B24-04,-0.0905,-0.031
B25-03,-0.3135,-0.1395
B25-04,-0.292,-0.1375
B25-07,-0.3635,-0.1355
B30-02,-0.5515000000000001,-0.22
B30-04,-0.502,-0.2435
B30-05,-0.9095,-0.458
B30-12,-0.8105,-0.364
B30-13,-0.322,-0.129
B30-15,0,0
B30-23,0,0
B30-24,-0.859,0
B31-01,-3.129,-1.607
B31-03,-1.9195,-0.932
B31-05,-0.8734999999999999,0
B31-06,-0.9515,-0.3505
B31-07,-0.928,0
B31-08,-0.842,-0.4335
B31-09,-1.25,-0.6865
B31-10,-0.4535,-0.1495
B31-12,-0.79,-0.4805
B31-14,-0.797,-0.4015
B31-15,0,0
B31-16,-1.0675,-0.532
B31-20,0,0
B31-21,0,0
B31-22,0,0
B31-23,0,0
B31-24,-1.1575,-0.4725
B31-25,-4.367,-1.9915
B31-26,-2.164,0
B32-02,-0.552,-0.2715
B32-03,-1.8115,-0.8755
B32-04,-1.3085,-0.7665
B32-05,-2.569,-1.4740000000000002
B32-06,-0.583,-0.2735
B32-07,-1.2025000000000001,-0.764
B32-08,-0.0735,0
B32-09,-0.273,0
B32-10,-1.6655,-0.8185
B32-11,-1.2485,-0.419
B32-12,-1.3505,-0.1535
B32-14,-0.494,-0.059
B32-17,-0.927,-0.3055
B32-19,-0.1075,-0.027
B32-24,-0.2655,0
B33-02,0,0
B33-03,-0.843,-0.3925
B33-04,-0.6405000000000001,-0.277
B33-05,0,0
B33-06,-0.051500000000000004,-0.015
B33-07,-0.739,-0.31
B33-08,0,0
B33-10,-0.586,-0.0215
B34-01,-0.11149999999999999,0
B34-04,-0.925,-0.236
B34-05,-0.025500000000000002,0
B34-07,-1.4635,-0.5125
B34-08,-1.2825,-0.6094999999999999
B35-01,0,0
B35-02,-1.3515000000000001,-0.611
B35-03,-0.217,-0.0195
B35-05,-1.2065000000000001,-0.6094999999999999
B35-06,0,0
B35-07,0,0
B35-09,-1.654,-0.438
B35-10,-2.0735,-1.041
B35-11,-1.0099999999999998,-0.5805
B36-02,-0.4455,-2.7705
B36-03,0,0
B36-04,0,0
B36-05,-1.619,-0.79
B36-07,-1.3205,-0.621
B36-08,0,0
B36-09,0,0
B36-10,0,0
B36-11,-1.0179999999999998,-0.536
B36-12,-1.746,-1.012
B36-13,-2.6535,-1.121
B36-15,-0.9844999999999999,-0.554
B36-16,-0.9764999999999999,0
B36-18,0,0
B36-19,-0.242,0
B36-20,-0.4715,-0.1885
B36-22,-1.0735000000000001,-0.5205
B36-23,-1.7605,-1.085
B36-24,-1.37,-0.7224999999999999
B36-25,-1.4155,-0.82
B36-27,-0.7364999999999999,-0.07100000000000001
B36-28,-1.4224999999999999,-0.7755000000000001
B36-30,-3.0460000000000003,-1.4460000000000002
B36-31,0,0
B36-32,-1.6215000000000002,-0.902
B36-33,-1.8355000000000001,-1.0394999999999999
B36-35,-3.401,-1.562
B36-37,0,0
B36-38,-1.023,0
B36-39,-0.946,0
B36-40,-1.914,-0.346
B36-41,-1.926,0
B36-44,-0.2465,0
B36-46,-3.8834999999999997,-1.948
B36-47,-0.7855000000000001,-0.129
B36-50,-0.52,-0.087
B36-51,-1.4845000000000002,-0.5315000000000001
B36-52,-1.0795,-0.377
B36-53,-1.625,0
B36-54,-1.5015,0
B36-56,-1.7719999999999998,-0.9105000000000001
B40-01,0,0
B40-03,-1.5345,-0.7215
B40-04,-1.077,-0.4435
B40-05,-0.5874999999999999,-0.2455
B40-10,-0.2365,0
B40-11,-0.7945,0
B40-12,-0.965,-0.162
B40-13,-2.1159999999999997,-1.1205
B40-15,-0.8634999999999999,0
B40-19,0,0
B40-20,-1.4585,0
B41-02,-0.633,-0.3345
B41-03,-0.0215,0
B41-04,-0.9235,-0.2045
B41-05,0,0
B41-10,-0.3355,0
B41-11,-0.591,-0.151
B41-15,-0.377,0
B43-01,-0.608,-0.1755
B43-02,-1.2515,-0.578
B43-05,0,0
B43-06,0,0
B43-08,0,0
B43-09,0,0
B43-10,-0.441,-0.072
B43-11,0,0
B43-13,-1.2915,-0.6265000000000001
B44-03,-0.8465,-0.406
B44-10,-0.73,-0.3285
B44-11,-0.7224999999999999,-0.356
B44-12,-0.5475000000000001,-0.1515
B44-16,-0.8765000000000001,-0.4345
B44-17,0,0
B44-19,-0.8365,-0.3575
B44-20,-0.311,-0.1245
B44-22,0,0
B44-23,-0.375,-0.111
B44-24,-0.727,-0.375
B44-28,-1.097,-0.4865
B44-29,-1.0510000000000002,-0.56
B44-30,-0.666,-0.1905
B45-02,-0.365,0
B45-03,-0.5065,-0.256
B45-05,-0.624,-0.344
B45-06,-0.626,-0.3665
B45-07,-0.813,-0.522
B45-08,-0.189,-0.073
B45-11,-0.392,-0.318
B45-15,-0.705,-0.0755
B45-20,-0.301,0
B45-25,-0.892,-0.17049999999999998
B45-26,-0.7064999999999999,-0.3195
B45-29,-1.0575,-0.6054999999999999
B45-32,-0.9935,-0.511
B46-02,-1.921,-1.0750000000000002
B46-04,-0.3185,-0.16
B46-05,-0.871,-0.505
B46-06,-1.273,-0.6924999999999999
B46-07,-1.5605,-0.906
B46-10,-0.8965000000000001,-0.49
B46-11,-0.764,-0.3835
B46-13,0,0
B46-16,0,0
B46-17,-0.726,-0.3435
B46-20,-2.876,-1.598
B46-22,-0.619,-0.261
B46-23,-0.1765,-0.069
B46-25,-1.8889999999999998,-1.1309999999999998
B46-30,-1.0945,-0.728
B46-31,-1.0925,0
B46-34,-0.796,-0.2495
