SGI,med_10m,med_20m
B52-33,-1.166,-0.5905
B52-36,-1.4515,-0.745
B52-37,-2.1304999999999996,-0.9135
B52-64,0,0
B52-65,-1.201,-0.355
B53-05,-8.719,-12.9985
B53-06,-0.9045000000000001,-0.353
B53-10,-1.0335,-0.4255
B53-20,-1.3835,-0.581
B53-23,-0.9015,-0.3955
B54-01,0,0
B55-02,-0.996,-0.4875
B55-05,-0.8825000000000001,-0.3
B55-09,0,0
B55-13,-2.9770000000000003,-1.2525
B55-14,-1.1895,-0.4955
B55-15,-0.841,-0.3325
B55-16,0,0
B55-17,-2.8455,-1.186
B55-19,0,0
B55-24,-0.6275,-0.1915
B55-25,-0.22,-0.035
B55-29,-1.6435,-1.6640000000000001
B55-32,-0.6835,-0.2095
B55-33,0,0
B55-34,-2.5460000000000003,-1.2995
B56-01,-0.53,-0.197
B56-04,0,0
B56-11,0,0
B56-13,-3.1605,-1.3045
B56-23,-0.139,-0.0375
B56-24,-0.2965,-0.093
B56-28,0,0
B56-30,0,0
B57-06,-1.501,-0.4635
B57-08,-0.231,-0.097
B57-09,-0.244,-0.056999999999999995
B57-12,-1.1789999999999998,-0.39
B57-19,0,0
B57-20,-0.768,-0.498
B57-21,-1.7095,-0.833
B57-23,-0.11,-0.1205
B57-24,-1.193,-0.392
B57-26,0,0
B57-27,0,0
B58-05,-0.7315,-0.2625
B58-06,-0.2935,-0.0805
B58-07,-1.0545,-0.4275
B58-10,-0.5455000000000001,-0.218
B58-11,-0.6785000000000001,-0.172
B58-13,-1.0365,-0.469
B58-15,0,0
B58-16,-1.2919999999999998,-0.681
B58-19,-1.103,-0.443
B58-20,-2.3945,-1.1595
B58-26,-1.4645000000000001,-0.5585
B58-27,-0.154,-0.0505
B58-28,-0.017,-0.009
B58-30,-2.3825,-1.313
B58-31,-2.4015,-1.123
B58-34,-0.6395,-0.6975
B60-02,-0.9855,-0.333
B60-03,-1.9220000000000002,-1.049
B60-04,-0.8565,-0.3585
B60-05,-1.207,-0.6805000000000001
B60-06,0,0
B60-08,-0.9195,-0.4575
B60-10,-0.832,-0.255
B60-12,-0.755,-0.232
B60-13,-0.7095,-0.2495
B60-19,-1.2955,-0.4595
B60-22,-1.647,-0.6545000000000001
B61-02,-1.058,-0.521
B62-08,0,0
B62-09,-1.939,-0.6825000000000001
B62-13,-0.4215,-0.09
B62-17,0,0
B63-01,-0.582,0
