SGI,med_10m,med_20m
A54l-34,0,0
A54l-35,-0.001,-0.001
A54l-37,-1.3185,0
A54l-38,0,0
A54l-39,-0.004,-0.004
A54m-00,-0.173,-0.088
A54m-01,-0.0,-0.0
A54m-02,-0.4205,-0.168
A54m-04,-0.478,-0.1435
A54m-07,-0.006,-0.004
A54m-08,-0.0,0
A54m-09,-0.2505,-0.089
A54m-10,-0.881,-0.392
A54m-13,-0.001,-0.001
A54m-14,-0.0945,0
A54m-15,0,0
A54m-16,-0.001,-0.001
A54m-17,-0.306,-0.1145
A54m-18,-0.0,0
A54m-22,-0.2735,-0.1
A54m-24,0,0
A54m-25,-1.368,-0.183
A54m-26,-0.0,0
A54m-27,-0.0,-0.0
A54m-28,-0.0,0
A54m-30,-0.0,-0.0
A54m-31,-0.0,-0.0
A54m-32,-0.003,-0.003
A54m-33,-0.058,-0.025
A54m-34,-0.059,0
A54m-37,-1.0139999999999998,-0.3965
A54m-38,-0.001,-0.0
A54m-39,-0.0,0
A54m-41,-0.0,-0.0
A54m-42,0,0
A54m-44,-0.7315,0
A54m-45,-0.0,-0.0
A54m-46,-0.026,-0.008
A54m-50,-1.284,-0.469
A54m-51,-0.012,-0.006
A54m-52,-0.029,-0.009
A54m-53,-0.0,0
A54m-55,-0.537,-0.2205
A54m-56,-0.0,0
A54m-57,-0.0,0
A54m-59,-0.443,-0.178
A54m-60,0,0
A55a-02,0,0
A55a-03,-0.023,-0.011
A55a-06,-0.001,-0.001
A55a-07,-0.1065,-0.032
A55a-08,-0.0035,-0.0
A55a-09,-0.0,0
A55a-10,0,0
A55a-11,-1.259,0
A55a-13,-1.2854999999999999,-0.6975
A55a-15,-2.3785,-0.8985000000000001
A55a-16,0,0
A55b-03,-0.006,-0.10999999999999999
A55b-04,-0.002,-0.002
A55b-05,-0.001,-0.0
A55b-06,0,0
A55b-07,0,0
A55b-08,0,0
A55b-09,-0.4335,-0.1605
A55b-10,-0.7055,-0.275
A55b-11,-0.001,-0.001
A55b-12,-0.002,-0.002
A55b-14,-0.013,-0.004
A55b-15,-0.0285,-0.0
A55b-16,0,0
A55b-17,-0.2895,-0.1085
A55b-21,-1.5935000000000001,-0.654
A55b-22,0,0
A55b-24,-0.002,0
A55b-25,-0.005,-0.003
A55b-26,-0.128,-0.043
A55b-27,-0.0,-0.0
A55b-28,-0.001,-0.001
A55b-30,0,0
A55b-31,0,0
A55b-32,0,0
A55b-33,-0.006,-0.002
A55b-34,0,0
A55b-35,0,0
A55b-36,-0.004,-0.003
A55b-37,-0.072,0
A55b-38,0,0
A55b-39,-0.0445,0
A55b-43,-0.2625,-0.098
A55c-01,-0.183,-0.068
A55c-03,-0.0,0
A55c-04,0,0
A55c-07,-0.265,-0.0925
A55c-09,-0.4625,-0.164
A55c-11,0,0
A55c-14,-0.1335,0
A55c-16,-0.01,-0.006
A55c-18,0,0
A55c-19,-0.0,-0.0
A55c-21,0,0
A55c-25,0,0
A55c-26,-0.7344999999999999,-0.1725
A55d-04,0,0
A55d-05,-0.0,-0.0
A55d-08,0,0
A55f-01,0,0
A55f-04,-0.297,-0.083
A55f-05,-0.476,-0.176
A55f-07,-0.018,-0.01
A56d-01,0,0
A56d-02,0,0
A56d-04,0,0
A56d-05,-0.0,-0.0
A56d-06,-0.0875,0
B16-01,-0.2875,-0.1105
B16-03,-0.148,-0.051
B16-05,-0.036,-0.01
B16-07,-0.3795,-0.016
B16-09,0,0
B16-10,0,0
B16-12,0,0
B17-02,-0.0,-0.0
B17-03,-0.0,-0.0
B17-04,-0.0,-0.0
B17-08,-0.003,-0.002
B17-10,0,0
B21-05,0,0
B22-04,-0.113,-0.018
B23-03,-0.319,-0.106
B23-07,0,0
B23-09,-0.2515,-0.0845
B24-04,-0.641,-0.3645
B25-03,-0.04,-0.014
B25-04,-0.038,-0.013
B25-07,-0.128,-0.028
B30-02,-0.4065,-0.1585
B30-04,-0.0875,-0.018
B30-05,-0.305,-0.1185
B30-12,-0.5805,-0.237
B30-13,-0.609,0
B30-15,0,0
B30-23,0,0
B30-24,-1.0579999999999998,0
B31-01,-2.9275,-1.2315
B31-03,-0.428,-0.153
B31-05,0,0
B31-06,-0.938,-0.3525
B31-07,-0.5305,-0.185
B31-08,-0.004,-0.002
B31-09,-0.173,-0.042
B31-10,-0.483,-0.139
B31-12,-0.008,-0.004
B31-14,-0.6265000000000001,-0.242
B31-15,0,0
B31-16,-0.0335,-0.014499999999999999
B31-20,0,0
B31-21,0,0
B31-22,0,0
B31-23,0,0
B31-24,-0.6375,0
B31-25,-0.0195,-0.009
B31-26,-1.7,-0.6935
B32-02,-0.0,-0.0
B32-03,-0.9955,-0.402
B32-04,-0.003,-0.001
B32-05,-1.6135000000000002,-0.7064999999999999
B32-06,-0.004,-0.001
B32-07,-0.002,-0.001
B32-08,-0.039,-0.008
B32-09,-0.652,0
B32-10,-1.6669999999999998,-0.6695
B32-11,-1.646,-0.68
B32-12,-1.928,-0.7845
B32-14,-0.004,0
B32-17,-1.198,-0.42
B32-19,-0.7244999999999999,0
B32-24,-1.541,0
B33-02,0,0
B33-03,-0.5275000000000001,-0.1375
B33-04,-0.347,-0.07200000000000001
B33-05,0,0
B33-06,-0.001,-0.001
B33-07,-0.6234999999999999,-0.215
B33-08,0,0
B33-10,-0.088,-0.01
B34-01,-0.023,-0.008
B34-04,-0.049,0
B34-05,-0.646,-0.23
B34-07,-0.307,-0.1205
B34-08,-0.0265,-0.0125
B35-01,0,0
B35-02,-0.368,-0.101
B35-03,-0.1095,-0.033
B35-05,-0.062,-0.019
B35-06,0,0
B35-07,0,0
B35-09,-3.512,-1.5825
